dna,index,target,changeover_costs,stocking_costs,deadlines,cost,result_cost
"(3, 3, 3, 2, 2, 5, 4, 5, 5, 2, 1, 1, 3, 2, 2, 2, 1, 4, 4, 1)",17,12,"[[ 0 18 21 32 41]
 [16  0 33 22 17]
 [38 16  0 21 31]
 [12 18 44  0 37]
 [49 41 40 29  0]]",[19 32 42 32 11],"[[0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1]
 [0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 1 0 1]
 [0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1]
 [0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1]
 [0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0]]",2357,2330
"(3, 3, 3, 2, 2, 5, 4, 5, 5, 2, 1, 1, 4, 2, 2, 2, 1, 3, 4, 1)",10,2,"[[ 0 18 21 32 41]
 [16  0 33 22 17]
 [38 16  0 21 31]
 [12 18 44  0 37]
 [49 41 40 29  0]]",[19 32 42 32 11],"[[0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1]
 [0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 1 0 1]
 [0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1]
 [0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1]
 [0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0]]",2330,2241
"(3, 3, 1, 2, 2, 5, 4, 5, 5, 2, 3, 1, 4, 2, 2, 2, 1, 3, 4, 1)",19,17,"[[ 0 18 21 32 41]
 [16  0 33 22 17]
 [38 16  0 21 31]
 [12 18 44  0 37]
 [49 41 40 29  0]]",[19 32 42 32 11],"[[0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1]
 [0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 1 0 1]
 [0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1]
 [0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1]
 [0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0]]",2241,2217
"(3, 3, 1, 2, 2, 5, 4, 5, 5, 2, 3, 1, 4, 2, 2, 2, 1, 1, 4, 3)",12,10,"[[ 0 18 21 32 41]
 [16  0 33 22 17]
 [38 16  0 21 31]
 [12 18 44  0 37]
 [49 41 40 29  0]]",[19 32 42 32 11],"[[0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1]
 [0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 1 0 1]
 [0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1]
 [0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1]
 [0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0]]",2217,2147
"(3, 3, 1, 2, 2, 5, 4, 5, 5, 2, 4, 1, 3, 2, 2, 2, 1, 1, 4, 3)",2,5,"[[ 0 18 21 32 41]
 [16  0 33 22 17]
 [38 16  0 21 31]
 [12 18 44  0 37]
 [49 41 40 29  0]]",[19 32 42 32 11],"[[0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1]
 [0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 1 0 1]
 [0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1]
 [0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1]
 [0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0]]",2147,2141
"(3, 3, 5, 2, 2, 1, 4, 5, 5, 2, 4, 1, 3, 2, 2, 2, 1, 1, 4, 3)",5,7,"[[ 0 18 21 32 41]
 [16  0 33 22 17]
 [38 16  0 21 31]
 [12 18 44  0 37]
 [49 41 40 29  0]]",[19 32 42 32 11],"[[0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1]
 [0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 1 0 1]
 [0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1]
 [0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1]
 [0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0]]",2141,2139
"(3, 3, 5, 2, 2, 5, 4, 1, 5, 2, 4, 1, 3, 2, 2, 2, 1, 1, 4, 3)",2,1,"[[ 0 18 21 32 41]
 [16  0 33 22 17]
 [38 16  0 21 31]
 [12 18 44  0 37]
 [49 41 40 29  0]]",[19 32 42 32 11],"[[0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1]
 [0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 1 0 1]
 [0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1]
 [0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1]
 [0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0]]",2139,2123
"(3, 5, 3, 2, 2, 5, 4, 1, 5, 2, 4, 1, 3, 2, 2, 2, 1, 1, 4, 3)",5,2,"[[ 0 18 21 32 41]
 [16  0 33 22 17]
 [38 16  0 21 31]
 [12 18 44  0 37]
 [49 41 40 29  0]]",[19 32 42 32 11],"[[0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1]
 [0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 1 0 1]
 [0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1]
 [0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1]
 [0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0]]",2123,2023
"(3, 5, 5, 2, 2, 3, 4, 1, 5, 2, 4, 1, 3, 2, 2, 2, 1, 1, 4, 3)",3,0,"[[ 0 18 21 32 41]
 [16  0 33 22 17]
 [38 16  0 21 31]
 [12 18 44  0 37]
 [49 41 40 29  0]]",[19 32 42 32 11],"[[0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1]
 [0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 1 0 1]
 [0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1]
 [0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1]
 [0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0]]",2023,1994
"(2, 5, 5, 3, 2, 3, 4, 1, 5, 2, 4, 1, 3, 2, 2, 2, 1, 1, 4, 3)",4,3,"[[ 0 18 21 32 41]
 [16  0 33 22 17]
 [38 16  0 21 31]
 [12 18 44  0 37]
 [49 41 40 29  0]]",[19 32 42 32 11],"[[0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1]
 [0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 1 0 1]
 [0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1]
 [0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1]
 [0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0]]",1994,1969
